event_type,level,trigger,description,file,line
ConversationEvents.AGENT_PROCESSING_ERROR,WARNING,src/muxi/formation/agents/agent.py:902,Knowledge search failed for agent {self.agent_id}: {str(e)},src/muxi/formation/agents/agent.py,902
ConversationEvents.AGENT_PROCESSING_ERROR,WARNING,src/muxi/formation/agents/agent.py:2469,Error checking clarification needs: {str(e)},src/muxi/formation/agents/agent.py,2469
ConversationEvents.AGENT_RESPONSE_GENERATED,DEBUG,src/muxi/formation/agents/agent.py:1850,generate_file result: {str(result)[:200]},src/muxi/formation/agents/agent.py,1850
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:1350,Agent {self.agent_id} provided direct response for simple request,src/muxi/formation/agents/agent.py,1350
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:1447,Agent {self.agent_id} extracted {len(artifacts)} artifacts from planning execution,src/muxi/formation/agents/agent.py,1447
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:1718,Agent {self.agent_id} generated response,src/muxi/formation/agents/agent.py,1718
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:2111,Agent {self.agent_id} extracted {len(artifacts)} artifacts from tool results,src/muxi/formation/agents/agent.py,2111
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:2763,Agent {self.agent_id} using artifact service for file generation,src/muxi/formation/agents/agent.py,2763
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:2799,Agent {self.agent_id} successfully generated file using artifact service,src/muxi/formation/agents/agent.py,2799
ConversationEvents.AGENT_TOOL_CHAIN_COMPLETED,DEBUG,src/muxi/formation/agents/agent.py:2134,Tool chain completed after {iteration} iterations and {total_tool_calls} tool calls,src/muxi/formation/agents/agent.py,2134
ConversationEvents.AGENT_TOOL_CHAIN_ITERATION_COMPLETED,DEBUG,src/muxi/formation/agents/agent.py:2080,Tool chain iteration {iteration + 1} completed,src/muxi/formation/agents/agent.py,2080
ConversationEvents.AGENT_TOOL_CHAIN_ITERATION_STARTED,DEBUG,src/muxi/formation/agents/agent.py:1778,Tool chain iteration {iteration + 1} started with {len(tool_calls)} tool calls,src/muxi/formation/agents/agent.py,1778
ConversationEvents.ASYNC_PROCESSING_COMPLETED,INFO,src/muxi/formation/overlord/overlord.py:5049,Request {request_id}: Completed async processing in {processing_time:.2f}s,src/muxi/formation/overlord/overlord.py,5049
ConversationEvents.ASYNC_PROCESSING_FAILED,WARNING,src/muxi/formation/overlord/overlord.py:7579,"Post-approval time estimation failed, using sync execution",src/muxi/formation/overlord/overlord.py,7579
ConversationEvents.ASYNC_PROCESSING_FAILED,WARNING,src/muxi/formation/overlord/overlord.py:7802,Webhook notification failed after all retries,src/muxi/formation/overlord/overlord.py,7802
ConversationEvents.ASYNC_PROCESSING_STARTED,INFO,src/muxi/formation/overlord/chat_orchestrator.py:521,Creating async task for request {request_id},src/muxi/formation/overlord/chat_orchestrator.py,521
ConversationEvents.ASYNC_PROCESSING_STARTED,INFO,src/muxi/formation/overlord/overlord.py:4909,Starting async processing for request {request_id},src/muxi/formation/overlord/overlord.py,4909
ConversationEvents.ASYNC_THRESHOLD_DETECTED,INFO,src/muxi/formation/overlord/overlord.py:7348,NO DESCRIPTION,src/muxi/formation/overlord/overlord.py,7348
ConversationEvents.ASYNC_THRESHOLD_DETECTED,INFO,src/muxi/formation/overlord/overlord.py:7562,Post-approval async decision: {'async' if should_async else 'sync'},src/muxi/formation/overlord/overlord.py,7562
ConversationEvents.ASYNC_THRESHOLD_DETECTED,INFO,src/muxi/formation/overlord/overlord.py:7790,Webhook notification sent successfully with retries,src/muxi/formation/overlord/overlord.py,7790
ConversationEvents.CLARIFICATION_COMPLETED,INFO,src/muxi/formation/overlord/overlord.py:9168,Agent clarification completed for {agent_name},src/muxi/formation/overlord/overlord.py,9168
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:8948,Failed to handle agent clarification request: {str(e)},src/muxi/formation/overlord/overlord.py,8948
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9182,Failed to process agent clarification response: {str(e)},src/muxi/formation/overlord/overlord.py,9182
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9564,Failed to send additional clarification for request {request_id},src/muxi/formation/overlord/overlord.py,9564
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9574,Clarification failed for request {request_id},src/muxi/formation/overlord/overlord.py,9574
ConversationEvents.CLARIFICATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:9601,Exception during clarification processing for request {request_id},src/muxi/formation/overlord/overlord.py,9601
ConversationEvents.CLARIFICATION_REQUEST_GENERATED,INFO,src/muxi/formation/overlord/overlord.py:8933,Agent {agent_name} requested clarification from user,src/muxi/formation/overlord/overlord.py,8933
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:5421,"Checking for pending clarifications (workflow approval, credentials, etc.)",src/muxi/formation/overlord/overlord.py,5421
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:5785,Processing workflow approval response,src/muxi/formation/overlord/overlord.py,5785
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:5802,Looking up workflow {workflow_id} in pending approvals,src/muxi/formation/overlord/overlord.py,5802
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:6273,Checking workflow analysis conditions,src/muxi/formation/overlord/overlord.py,6273
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:7215,Workflow approval decision: {'REQUIRED' if needs_approval else 'NOT REQUIRED'},src/muxi/formation/overlord/overlord.py,7215
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:9265,Requesting {service} credentials from user,src/muxi/formation/overlord/overlord.py,9265
ConversationEvents.CLARIFICATION_REQUEST_SENT,INFO,src/muxi/formation/overlord/overlord.py:9557,Additional clarification question sent for request {request_id},src/muxi/formation/overlord/overlord.py,9557
ConversationEvents.CLARIFICATION_REQUEST_SENT,WARNING,src/muxi/formation/overlord/overlord.py:6621,Agent selection triggered - check if this should have been handled as clarification,src/muxi/formation/overlord/overlord.py,6621
ConversationEvents.CLARIFICATION_RESPONSE_RECEIVED,INFO,src/muxi/formation/overlord/overlord.py:5713,Processing {clarification_info.get('type')} clarification response,src/muxi/formation/overlord/overlord.py,5713
ConversationEvents.CLARIFICATION_SKIPPED,INFO,src/muxi/formation/overlord/overlord.py:9220,Clarification disabled - cannot request missing credential,src/muxi/formation/overlord/overlord.py,9220
ConversationEvents.CONTENT_EXTRACTION_COMPLETED,DEBUG,src/muxi/formation/artifacts/extractor.py:109,Successfully parsed JSON content from text field,src/muxi/formation/artifacts/extractor.py,109
ConversationEvents.CONTENT_EXTRACTION_COMPLETED,DEBUG,src/muxi/formation/artifacts/extractor.py:139,Successfully parsed JSON content from string,src/muxi/formation/artifacts/extractor.py,139
ConversationEvents.CONTENT_EXTRACTION_STARTED,DEBUG,src/muxi/formation/artifacts/extractor.py:83,Tool result type: {type(file_info)},src/muxi/formation/artifacts/extractor.py,83
ConversationEvents.CONTENT_PROCESSED,DEBUG,src/muxi/formation/agents/knowledge/handler.py:297,No embedding function provided for knowledge source,src/muxi/formation/agents/knowledge/handler.py,297
ConversationEvents.CONTENT_PROCESSED,ERROR,src/muxi/formation/agents/knowledge/handler.py:275,Unsupported knowledge source type,src/muxi/formation/agents/knowledge/handler.py,275
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/agents/knowledge/handler.py:239,Starting knowledge source addition with hybrid architecture,src/muxi/formation/agents/knowledge/handler.py,239
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/agents/knowledge/handler.py:461,Knowledge source addition completed with hybrid architecture,src/muxi/formation/agents/knowledge/handler.py,461
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/artifacts/extractor.py:73,Found direct artifact: {artifact.filename},src/muxi/formation/artifacts/extractor.py,73
ConversationEvents.CONTENT_PROCESSED,INFO,src/muxi/formation/artifacts/processor.py:278,Successfully created artifact: {artifact.filename},src/muxi/formation/artifacts/processor.py,278
ConversationEvents.CONTENT_RETRIEVED,INFO,src/muxi/formation/agents/knowledge/handler.py:493,Starting knowledge search with performance optimization,src/muxi/formation/agents/knowledge/handler.py,493
ConversationEvents.CONTENT_RETRIEVED,INFO,src/muxi/formation/agents/knowledge/handler.py:578,Knowledge semantic search completed,src/muxi/formation/agents/knowledge/handler.py,578
ConversationEvents.CONTENT_RETRIEVED,INFO,src/muxi/formation/agents/knowledge/handler.py:1442,Unified knowledge and memory search completed,src/muxi/formation/agents/knowledge/handler.py,1442
ConversationEvents.CONTENT_RETRIEVED,WARNING,src/muxi/formation/agents/knowledge/handler.py:511,No embedding function provided for knowledge search,src/muxi/formation/agents/knowledge/handler.py,511
ConversationEvents.CRON_TIMEZONE_CONVERTED,INFO,src/muxi/services/scheduler/parser.py:1126,Cron expression timezone converted,src/muxi/services/scheduler/parser.py,1126
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/services/llm/llm.py:925,NO DESCRIPTION,src/muxi/services/llm/llm.py,925
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/utils/document.py:53,Document loading completed successfully,src/muxi/utils/document.py,53
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/utils/document.py:109,Text chunking completed - empty text,src/muxi/utils/document.py,109
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,DEBUG,src/muxi/utils/document.py:149,Text chunking completed successfully,src/muxi/utils/document.py,149
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,INFO,src/muxi/formation/artifacts/extractor.py:213,Successfully extracted pre-processed artifact: {artifact.filename},src/muxi/formation/artifacts/extractor.py,213
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,INFO,src/muxi/formation/artifacts/extractor.py:246,Successfully extracted artifact from file: {file_path},src/muxi/formation/artifacts/extractor.py,246
ConversationEvents.DOCUMENT_PROCESSING_COMPLETED,INFO,src/muxi/formation/artifacts/extractor.py:302,Extracted {len(artifacts)} artifacts from tool results,src/muxi/formation/artifacts/extractor.py,302
ConversationEvents.DOCUMENT_PROCESSING_FAILED,DEBUG,src/muxi/services/llm/llm.py:818,Fusion engine initialized successfully,src/muxi/services/llm/llm.py,818
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/agents/knowledge/handler.py:892,Failed to process knowledge file during addition,src/muxi/formation/agents/knowledge/handler.py,892
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/artifacts/extractor.py:277,Failed to create artifact from file {file_path}: {str(e)},src/muxi/formation/artifacts/extractor.py,277
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/artifacts/processor.py:288,Error creating artifact from {file_path}: {str(e)},src/muxi/formation/artifacts/processor.py,288
ConversationEvents.DOCUMENT_PROCESSING_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:8567,Error synthesizing workflow results: {str(e)},src/muxi/formation/overlord/overlord.py,8567
ConversationEvents.DOCUMENT_PROCESSING_FAILED,WARNING,src/muxi/formation/agents/knowledge/handler.py:802,No chunks generated from knowledge file,src/muxi/formation/agents/knowledge/handler.py,802
ConversationEvents.DOCUMENT_PROCESSING_FAILED,WARNING,src/muxi/formation/overlord/overlord.py:8556,"LLM synthesis failed, using fallback: {str(e)}",src/muxi/formation/overlord/overlord.py,8556
ConversationEvents.DOCUMENT_PROCESSING_FAILED,WARNING,src/muxi/services/llm/llm.py:825,"Could not import fusion engine, falling back to basic processing",src/muxi/services/llm/llm.py,825
ConversationEvents.DOCUMENT_PROCESSING_STARTED,DEBUG,src/muxi/utils/document.py:24,Starting document loading,src/muxi/utils/document.py,24
ConversationEvents.DOCUMENT_PROCESSING_STARTED,DEBUG,src/muxi/utils/document.py:94,Starting text chunking,src/muxi/utils/document.py,94
ConversationEvents.DOCUMENT_PROCESSING_STARTED,INFO,src/muxi/formation/artifacts/processor.py:176,Creating artifact from file: {file_path},src/muxi/formation/artifacts/processor.py,176
ConversationEvents.DOCUMENT_PROCESSING_STARTED,WARNING,src/muxi/services/llm/llm.py:1413,"Failed to convert files, using basic processing",src/muxi/services/llm/llm.py,1413
ConversationEvents.EXCLUSION_RULES_GENERATED,INFO,src/muxi/services/scheduler/parser.py:964,Exclusion rules generation completed,src/muxi/services/scheduler/parser.py,964
ConversationEvents.EXCLUSION_RULES_GENERATION_STARTED,INFO,src/muxi/services/scheduler/parser.py:938,Starting exclusion rules generation,src/muxi/services/scheduler/parser.py,938
ConversationEvents.GENERAL,WARNING,src/muxi/formation/overlord/chat_orchestrator.py:383,Forcing sync mode: No webhook URL configured or provided,src/muxi/formation/overlord/chat_orchestrator.py,383
ConversationEvents.MCP_SERVER_REGISTERED,INFO,src/muxi/formation/overlord/mcp_coordinator.py:428,MCP server '{server_id}' registered successfully,src/muxi/formation/overlord/mcp_coordinator.py,428
ConversationEvents.MCP_SERVER_UNREGISTERED,INFO,src/muxi/formation/overlord/mcp_coordinator.py:539,MCP server '{server_id}' unregistered successfully,src/muxi/formation/overlord/mcp_coordinator.py,539
ConversationEvents.MCP_TOOL_CALLED,INFO,src/muxi/formation/server/routes/admin/mcp.py:382,MCP tool '{tool_call.tool}' executed successfully via API (access: {tool_def['access']}),src/muxi/formation/server/routes/admin/mcp.py,382
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/formation/agents/agent.py:1234,Executed planned step: {step.get('action')},src/muxi/formation/agents/agent.py,1234
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/formation/agents/agent.py:2899,Agent {self.agent_id} completed tool call {tool_name},src/muxi/formation/agents/agent.py,2899
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/services/mcp/service.py:675,NO DESCRIPTION,src/muxi/services/mcp/service.py,675
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/agents/agent.py:1911,Tool call execution failed: {str(e)},src/muxi/formation/agents/agent.py,1911
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/agents/agent.py:2944,Agent {self.agent_id} tool call failed: {str(e)},src/muxi/formation/agents/agent.py,2944
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/artifacts/extractor.py:292,Error processing tool result: {str(e)},src/muxi/formation/artifacts/extractor.py,292
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/server/routes/admin/mcp.py:420,MCP tool '{tool_call.tool}' configuration error - required component not available: {str(e)},src/muxi/formation/server/routes/admin/mcp.py,420
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/server/routes/admin/mcp.py:461,MCP tool '{tool_call.tool}' unexpected error: {type(e).__name__} - {str(e)},src/muxi/formation/server/routes/admin/mcp.py,461
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/services/mcp/service.py:649,NO DESCRIPTION,src/muxi/services/mcp/service.py,649
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/services/mcp/service.py:700,NO DESCRIPTION,src/muxi/services/mcp/service.py,700
ConversationEvents.MCP_TOOL_CALL_FAILED,WARNING,src/muxi/formation/server/routes/admin/mcp.py:404,MCP tool '{tool_call.tool}' validation error: {str(e)},src/muxi/formation/server/routes/admin/mcp.py,404
ConversationEvents.MCP_TOOL_CALL_FAILED,WARNING,src/muxi/formation/server/routes/admin/mcp.py:441,MCP tool '{tool_call.tool}' missing required argument: {str(e)},src/muxi/formation/server/routes/admin/mcp.py,441
ConversationEvents.MCP_TOOL_CALL_STARTED,DEBUG,src/muxi/formation/artifacts/extractor.py:49,Processing tool result: {tool_name} (success: {success}),src/muxi/formation/artifacts/extractor.py,49
ConversationEvents.MCP_TOOL_CALL_STARTED,DEBUG,src/muxi/services/mcp/service.py:595,Executing MCP tool '{tool_name}' on server '{server_id}' with user credentials,src/muxi/services/mcp/service.py,595
ConversationEvents.MCP_TOOL_CALL_STARTED,INFO,src/muxi/formation/agents/agent.py:2819,Agent {self.agent_id} invoking tool {tool_name},src/muxi/formation/agents/agent.py,2819
ConversationEvents.MCP_TOOL_CALL_STARTED,INFO,src/muxi/services/mcp/service.py:461,MCP tool invocation started: {tool_name} on {server_id},src/muxi/services/mcp/service.py,461
ConversationEvents.MEMORY_LONG_TERM_DELETION_FAILED,WARNING,src/muxi/services/memory/long_term.py:983,Long-term memory deletion failed - memory not found,src/muxi/services/memory/long_term.py,983
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,DEBUG,src/muxi/formation/memory/persistent_manager.py:81,Long-term memory storage completed,src/muxi/formation/memory/persistent_manager.py,81
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,DEBUG,src/muxi/formation/memory/persistent_manager.py:115,Long-term memory storage completed,src/muxi/formation/memory/persistent_manager.py,115
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,DEBUG,src/muxi/services/memory/extractor.py:579,Successfully called long_term_memory.add,src/muxi/services/memory/extractor.py,579
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,INFO,src/muxi/services/memory/long_term.py:468,Long-term memory storage started,src/muxi/services/memory/long_term.py,468
ConversationEvents.MEMORY_LONG_TERM_ENHANCEMENT_FAILED,ERROR,src/muxi/formation/memory/persistent_manager.py:95,Long-term memory storage failed: {e},src/muxi/formation/memory/persistent_manager.py,95
ConversationEvents.MEMORY_LONG_TERM_ENHANCEMENT_FAILED,ERROR,src/muxi/formation/memory/persistent_manager.py:129,Long-term memory storage failed: {e},src/muxi/formation/memory/persistent_manager.py,129
